"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency","Zone Hide "
"1","A-VUCALL","CH-1 VHF VUCALL|CH-2 UHF VUCALL","145.50000|435.50000","145.50000|435.50000","CH-1 VHF VUCALL","145.50000","145.50000","CH-2 UHF VUCALL","435.50000","435.50000","0"
"2","D-VUCALL","CH-1 D-VHFS1|CH-2 D-VHFS2|CH-1 D-UHFS1|CH-2 D-UHFS2","145.50000|145.50000|435.50000|435.50000","145.50000|145.50000|435.50000|435.50000","CH-1 D-VHFS1","145.50000","145.50000","CH-2 D-VHFS2","145.50000","145.50000","0"
"6","Andhra Pradesh-R","AJI-Guntur|KDD-Vijayawada|VBR-Visakhapatna|RM-Eluru","145.45000|145.55000|145.40000|145.60000","144.85000|144.95000|144.80000|145.00000","AJI-Guntur","145.45000","144.85000","KDD-Vijayawada","145.55000","144.95000","0"
"7","Bihar-R","MMP-Patna","145.00000","144.40000","MMP-Patna","145.00000","144.40000","MMP-Patna","145.00000","144.40000","0"
"8","New Delhi-R","FUN-Delhi|HUB-Delhi|RRG-Delhi|DGS-Delhi|DLR-Delhi|HUB-D1-ND|HUB-D2-ND","145.67000|435.67000|145.20000|434.90000|145.60000|435.67000|435.67000","145.07000|434.07000|145.80000|436.50000|145.00000|434.07000|434.07000","FUN-Delhi","145.67000","145.07000","HUB-Delhi","435.67000","434.07000","0"
"9","Gujrat-R","YCR-Ahmedabad|WDF-Gandhinagar|URP-Rajkot","145.20000|145.40000|144.25000","144.60000|144.80000|144.85000","YCR-Ahmedabad","145.20000","144.60000","WDF-Gandhinagar","145.40000","144.80000","0"
"10","Karnataka-R","RSB-Chikkaballap|CHQ-Chikmagalur|CIQ-Chikmagalur|NIW-Mangaluru|TRE-Mysuru","145.70000|144.90000|434.05000|144.82500|145.72500","145.10000|144.30000|435.65000|145.42500|145.12500","CH-1 VHF VUCALL","145.50000","145.50000","CH-1 VHF VUCALL","145.50000","145.50000","0"
"11","Kerala-R","FAR-Idukki|HEN-Kattapana|CHN-Nadukani|WSV-Idukki|MWM-Kannur|CSD-Kollam|GCC-Kollam|IP-Pala|TTD-Thodupuzha|CSR-Kozhikode|EDJ-Vatakara|MJJ-Malappuram|BCM-Palakkad|DFD-Pathanamthit|IAC-Thrissur|XT-Trivandrum|YSR-Trivandrum|RFF-Wynad|MEP-Erranakulam|TWC-Thissur","145.17500|145.10000|145.60000|145.55000|145.67500|145.35000|145.20000|145.26500|145.30000|145.62500|145.82500|145.45000|145.65000|144.47500|144.82500|145.60000|145.22500|144.14500|144.80000|144.20000","145.77500|145.70000|145.00000|144.95000|145.07500|144.75000|144.60000|144.66500|144.70000|145.02500|144.22500|144.85000|145.05000|145.07500|144.22500|145.00000|144.62500|144.74500|144.20000|144.80000","FAR-Idukki","145.17500","145.77500","HEN-Kattapana","145.10000","145.70000","0"
"12","Madhya Pradesh-R","GWR-Gwalior","145.00000","145.60000","GWR-Gwalior","145.00000","145.60000","GWR-Gwalior","145.00000","145.60000","0"
"13","Maharastra-R","BBB- Mumbai|BPB-W.Mumbai|ST-S.Mumbai|ETD-Pune|PHA-Pune|SZA-Pune|DYW-Pune|EQG-Pune","145.00000|145.40000|144.10000|144.80000|145.10000|145.00000|434.10000|145.50000","145.60000|144.80000|144.70000|144.20000|145.70000|144.90000|435.70000|144.90000","BBB- Mumbai","145.00000","145.60000","BPB-W.Mumbai","145.40000","144.80000","0"
"14","Rajasthan-R","WMF-Sironi|EBU-Sironi","145.60000|434.20000","145.00000|435.80000","WMF-Sironi","145.60000","145.00000","EBU-Sironi","434.20000","435.80000","0"
"15","Tamil Nadu-R","LHS-Chennai|MRR-Chennai|PUM-Chennai|MVR-Chennai|RPT-Coimbatore|DND-Kavarakal|KOD-Kodaikanal|UDT-Udumalpet|EOD-Erode|LEU-Kanyakumari|TCD-Namakkal|CPI-Yercaud|RMY-Virudhunagar|XIS-Chennai|VGC-Chennai|AOT-Coimbatore|IRT-Nilgiris|ECS-Ramanathapur|POC-Yercaud|YCD-Salem|TJR-Thanjavur|KJO-Thoothukudi|VCM-Vellore","145.55000|145.77500|145.60000|145.67500|145.80000|144.93000|145.15000|144.90000|145.37500|145.85000|145.12500|145.85000|145.60000|145.37500|145.57500|145.75000|144.97500|145.55000|434.95000|145.55000|145.85000|145.67500|145.47500","144.95000|145.17500|145.00000|145.07500|145.20000|145.53000|144.55000|144.30000|144.77500|145.25000|145.72500|145.25000|145.00000|145.77500|144.97500|145.15000|144.37500|144.95000|433.35000|144.95000|145.25000|145.07500|144.87500","LHS-Chennai","145.55000","144.95000","MRR-Chennai","145.77500","145.17500","0"
"16","Telangana-R","LHR-Hyderabad|SDZ-NIAR HYD","145.60000|144.72000","145.00000|145.32000","LHR-Hyderabad","145.60000","145.00000","SDZ-NIAR HYD","144.72000","145.32000","0"
"17","Uttarpradesh-R","DLR-Noida","145.60000","145.00000","DLR-Noida","145.60000","145.00000","DLR-Noida","145.60000","145.00000","0"
"18","Tirupura-R","TRJ-Agartala","144.72500","144.12500","TRJ-Agartala","144.72500","144.12500","TRJ-Agartala","144.72500","144.12500","0"
"19","West Bengal-R","WBR-Kolkata|CVH-Kolkata|CVN-Kolkata|IWR-Kolkata","145.00000|145.65000|145.85000|145.32500","144.40000|145.05000|434.50000|144.72500","WBR-Kolkata","145.00000","144.40000","CVH-Kolkata","145.65000","145.05000","0"
"20","Satellites-R","ISS APRS|ISS Repeater|AO-91|IO-86|PO-101","145.82500|437.80000|145.96000|435.88000|145.90000","145.82500|145.99000|435.25000|145.88000|437.50000","ISS APRS","145.82500","145.82500","ISS Repeater","437.80000","145.99000","0"
